address;shares;value_before;value_after;loss_previewdiff;loss_analytic
0xd773cb3589bc24df725bd129e0ccf4f6b13b6d4f;338350942785247909829;341441651519242;146026150979516;195415500539726;195415500539726
0x188697f39e2ec9e6e3c5fd5cbb36b8c01c81a53f;338218584416204051089;341308084106228;145969027499905;195339056606323;195339056606322
0x929cd0b5b03df44200a2f77291b886ae40cb9c63;333901465614898305945;336951530046740;144105837060161;192845692986579;192845692986579
0x22d2c9e7c66178e33898febf14ab4b33135d0abc;329430145493194065330;332439366095730;142176096117827;190263269977903;190263269977902
0x52b1ff9d3f19eacb32181b0e4c5bfc7c10d2ad6b;328458587366361164123;331458933150451;141756789191869;189702143958582;189702143958581
0xb1a9182427fa79e81e9de68bc27c885dc24d12ca;328457631725357071869;331457968780025;141756376754486;189701592025539;189701592025539
0xed30ce568c87ed1fccb7215e9eed416274af2481;328437980264059016307;331438137810012;141747895539003;189690242271009;189690242271008
0xf1d9236cf239c58384405cd79ba8775a242b420d;328437654411037837114;331437808980446;141747754906729;189690054073717;189690054073716
0xa5a30ad9a9a05ac8e3ba920dadd3f05820d50a36;328437630650947964661;331437785003317;141747744652304;189690040351013;189690040351012
0xf46d36a35eca074dac347bab4f70d969e8cbce59;328429921511593126574;331430005443870;141744417527107;189685587916763;189685587916763
0x362afefe31af31f3ba13949aa59911fa3b98a21b;328429039786684103664;331429115664735;141744036990574;189685078674161;189685078674161
0x723d93df6881fba4a8ebeb1368132c4b210d6723;328427236536321562873;331427295942358;141743258740312;189684037202046;189684037202046
0xaa19a18e60b52ba4bb09bfb406eedafd78b127e3;328422627389585628104;331422644692799;141741269515894;189681375176905;189681375176904
0x9c12e2863b83f0dcd65950e29e49e92e0eaa0666;324753142361708006255;327719640297924;140157586106335;187562054191589;187562054191589
0x910fabaebc56e12ee0f05c5d9023040c9be2bb86;324451642100683021845;327415385945297;140027464043501;187387921901796;187387921901796
0x2c6d438d7780618946d5473bddbf251b716f223e;323130607406147061503;326082284095178;139457329347953;186624954747225;186624954747225
0x6c568b173c88421d7a888049e8bb7b076f8d2265;323116835453095990350;326068386340511;139451385621953;186617000718558;186617000718557
0xaf1c383ce06debbf9f3c91349fd03cf651221121;322416164644400818008;325361315167241;139148988766029;186212326401212;186212326401211
0xdf8979cce6f1534df0a042543a187aaafbdcb671;322070720742731364867;325012715765323;138999901422205;186012814343118;186012814343117
0x6b020dc9a5371b8e5421bdfb8aa0d6f52d0abc4a;320462177055441279725;323389478635826;138305683042307;185083795593519;185083795593519
0x98da2cd731dc53a611cda8edc10520d1d7125ef0;318774315615074471165;321686199215380;137577232553904;184108966661476;184108966661476
0xf6dd849a1c72e4fbd9c8c1d06de5660c0af3e67e;318351594493627674919;321259616695318;137394793758863;183864822936455;183864822936454
0x6e4aaf7ab038512ee29989b3d1fc6ad8efc36f17;315752804403434591448;318637087634092;136273202930859;182363884703233;182363884703233
0x6e2f1d7ee2aa23007448810bd21bbccce07ff21c;299454237852389166716;302189639801452;129239036215256;172950603586196;172950603586195
0xf4cc5a237de073aee546137ae6532d206f02a470;299376414829330057655;302111105894317;129205449205209;172905656689108;172905656689108
0x2c58f853b21becbf9abb59995c7ae33a6750bd0b;298519784508228443513;301246650577093;128835743042805;172410907534288;172410907534288
0xc90ac6de237a9a8854b753121f1f0932a8598161;298421323986066275999;301147290655056;128793249261182;172354041393874;172354041393874
0x9d3714cceff1e57d9653158c877def1e74bd6f20;297676598041037040522;300395761918334;128471839004742;171923922913592;171923922913592
0xf19d2c58a0b8ec01c415e39d499f3c51628b06c8;296832287083489602287;299543738497422;128107449656967;171436288840455;171436288840454
0xe0393b7aac6f32b1c039ade3bf7d1a8dad0506c8;279315049087289024082;281866487113865;120547326373963;161319160739902;161319160739902
0x48f7d45fa696dc89ff4f2233b25490455ae19dc2;277654328327947052058;280190596294367;119830589312904;160360006981463;160360006981463
0x594c9ad8d38fd59daeae8520ab1e31b2a866c4f2;259741268546473439409;262113907442251;112099636502127;150014270940124;150014270940123
